States,Count
District of Columbia,20
Nebraska,10
Idaho,10
Mississippi,10
Kentucky,10
Indiana,10
Arizona,10
New Jersey,10
Oregon,10
Maine,10
Alabama,10
New Hampshire,10
Utah,10
North Dakota,10
Wisconsin,10
North Carolina,10
Vermont,10
Oklahoma,10
Colorado,10
Connecticut,10
Arkansas,10
Iowa,10
New York,10
South Carolina,10
Minnesota,10
Kansas,10
Illinois,10
New Mexico,10
Alaska,10
Texas,10
West Virginia,10
Virginia,10
Nevada,10
California,10
Rhode Island,10
Wyoming,10
Massachusetts,10
Pennsylvania,10
Maryland,10
South Dakota,10
Florida,10
Tennessee,10
Montana,10
Louisiana,10
Michigan,10
Georgia,10
Hawaii,10
Missouri,10
Delaware,10
Ohio,10
